Date,Value
2018-01-03,1.0468458547533233
2018-01-04,1.0709400276516312
2018-01-05,1.149780146085376
2018-01-08,1.1415709214619256
2018-01-09,1.18275496917345
2018-01-10,1.1825838122679897
2018-01-11,1.071344698529138
2018-01-12,1.1451018904786683
2018-01-16,0.9439954386490644
2018-01-17,0.914598642706138
2018-01-18,0.9364586285012942
2018-01-19,0.9436663383040557
2018-01-22,0.8984844742067049
2018-01-23,0.8889115007494156
2018-01-24,0.9400777822202626
2018-01-25,0.9343470944756707
2018-01-26,0.9298982930723855
2018-01-29,0.9846625835904482
2018-01-30,0.8857705677229772
2018-01-31,0.9084631868737503
2018-02-01,0.8269330757432158
2018-02-02,0.7675567433839533
2018-02-05,0.5960090440832092
2018-02-06,0.6700488120975048
2018-02-07,0.6502964941497659
2018-02-08,0.7040489535332198
2018-02-09,0.7514938887223017
2018-02-12,0.7550648982095975
2018-02-13,0.7305201787000922
2018-02-14,0.8029737639660943
2018-02-15,0.8400902951726471
2018-02-16,0.8460642863133873
2018-02-20,0.881494300134077
2018-02-21,0.8309117812516146
2018-02-22,0.7850460949778436
2018-02-23,0.8197766759821797
2018-02-26,0.8248410706800068
2018-02-27,0.8446445179861508
2018-02-28,0.8204187666279674
2018-03-01,0.8521365360348635
2018-03-02,0.8515352407238425
2018-03-05,0.8712448497975915
2018-03-06,0.8212188697014633
2018-03-07,0.7581275400311747
2018-03-08,0.7124673272649067
2018-03-09,0.7207387650885498
2018-03-12,0.7024302992511734
2018-03-13,0.6980459516992294
2018-03-14,0.6247181686613613
2018-03-15,0.6247153574822786
2018-03-16,0.6220091806829962
2018-03-19,0.6140339407514588
2018-03-20,0.6255935182292001
2018-03-21,0.6284511793162908
2018-03-22,0.6097315701030619
2018-03-23,0.6156431818510176
2018-03-26,0.5647267074964109
2018-03-27,0.5301011571303287
2018-03-28,0.5327630420908377
2018-03-29,0.47157101804758517
2018-04-02,0.46877605376781445
2018-04-03,0.4987898654419043
2018-04-04,0.4571035677036843
2018-04-05,0.4569195913837889
2018-04-06,0.4435618330175576
2018-04-09,0.4633844924945452
2018-04-10,0.4738272718009694
2018-04-11,0.48717928582062603
2018-04-12,0.5542801796991407
2018-04-13,0.5544448883455935
2018-04-16,0.5699240423498548
2018-04-17,0.5596668955269148
2018-04-18,0.5807311689002805
2018-04-19,0.6067868441505949
2018-04-20,0.6518273399076104
2018-04-23,0.6677512834172333
2018-04-24,0.7298100275064825
2018-04-25,0.6519773528731065
2018-04-26,0.6919875405855429
2018-04-27,0.6724254331182811
2018-04-30,0.6934967897018134
2018-05-01,0.6900204076243064
2018-05-02,0.7010564516126869
2018-05-03,0.7639144323578558
2018-05-04,0.7646090756347277
2018-05-07,0.7365019844814804
2018-05-08,0.7300104421514345
2018-05-09,0.7337911114280388
2018-05-10,0.7106776120045172
2018-05-11,0.6636588689079101
2018-05-14,0.697571900522841
2018-05-15,0.679229622462188
2018-05-16,0.6720994925539393
2018-05-17,0.6454089110269713
2018-05-18,0.6615378046961994
2018-05-21,0.671150194392985
2018-05-22,0.63264103801355
2018-05-23,0.5838420478112073
2018-05-24,0.5930576873809049
2018-05-25,0.5818757700988311
2018-05-29,0.5723096946062881
2018-05-30,0.5668967102886525
2018-05-31,0.5786580304564702
2018-06-01,0.5817640974412198
2018-06-04,0.5862533574206177
2018-06-05,0.5985378041188016
2018-06-06,0.5984978212242277
2018-06-07,0.5987342707678741
2018-06-08,0.5946164386633965
2018-06-11,0.5337941787330366
2018-06-12,0.5037409435672773
2018-06-13,0.48515369976744577
2018-06-14,0.5178978638738314
2018-06-15,0.4958369492084842
2018-06-18,0.5201683344275988
2018-06-19,0.530035431073224
2018-06-20,0.5296012250456309
2018-06-21,0.5237041214558913
2018-06-22,0.46869683093442394
2018-06-25,0.47346726364617997
2018-06-26,0.4544683179970669
2018-06-27,0.4615311866647052
2018-06-28,0.4417077343866217
2018-06-29,0.46121366885017473
2018-07-02,0.49592000365406824
2018-07-03,0.4872688754861889
2018-07-05,0.4965563178758525
2018-07-06,0.49782244738780096
2018-07-09,0.5019159499249239
2018-07-10,0.4652216184738427
2018-07-11,0.47355479593977023
2018-07-12,0.4590207690575938
2018-07-13,0.4612451761032412
2018-07-16,0.5038598255307973
2018-07-17,0.537570744810035
2018-07-18,0.5300391306637985
2018-07-19,0.5286919552238059
2018-07-20,0.5148996802757589
2018-07-23,0.5290674280884107
2018-07-24,0.5712524388172407
2018-07-25,0.5583909261665783
2018-07-26,0.5451889799812922
2018-07-27,0.556323769154579
2018-07-30,0.5504148972801597
2018-07-31,0.5230458449198258
2018-08-01,0.5102514794946412
2018-08-02,0.5037733920225946
2018-08-03,0.5017952166569009
2018-08-06,0.4773587368105881
2018-08-07,0.45612641621628613
2018-08-08,0.4267415312196293
2018-08-09,0.44143897612299626
2018-08-10,0.41036135447718425
2018-08-13,0.38904030670394085
2018-08-14,0.38115193547011816
2018-08-15,0.38696906678317766
2018-08-16,0.39127244039788034
2018-08-17,0.4162393393021713
2018-08-20,0.38271857269359466
2018-08-21,0.39352597356065894
2018-08-22,0.3832388811608626
2018-08-23,0.3921487826745746
2018-08-24,0.4020296547153599
2018-08-27,0.4092176701931318
2018-08-28,0.4231201911937266
2018-08-29,0.41699485726866375
2018-08-30,0.4114214234189107
2018-08-31,0.4126985398302999
2018-09-04,0.42514230465323527
2018-09-05,0.3719653710065693
2018-09-06,0.36234818128270746
2018-09-07,0.351470868165325
2018-09-10,0.3330561578858902
2018-09-11,0.3239475984410092
2018-09-12,0.3235067773733011
2018-09-13,0.3498311309735276
2018-09-14,0.3499771365723834
2018-09-17,0.33296014057374707
2018-09-18,0.3445348048709654
2018-09-19,0.34536093919808897
