,Consumer,Manuf,HiTec,Hlth,btc,eth
Consumer,1.0,0.8197823058913669,0.6229212872878246,0.7381954513597188,0.19425152339523474,0.2160027317963673
Manuf,0.8197823058913669,1.0,0.7756205014822042,0.7613037755996954,0.2577053922052566,0.27352472442379855
HiTec,0.6229212872878246,0.7756205014822042,1.0,0.7552444417530121,0.2893268357037259,0.30433753947928727
Hlth,0.7381954513597188,0.7613037755996954,0.7552444417530121,1.0,0.21515752656800585,0.23711903552425784
btc,0.19425152339523474,0.2577053922052566,0.2893268357037259,0.21515752656800585,1.0,0.8147583813865513
eth,0.2160027317963673,0.27352472442379855,0.30433753947928727,0.23711903552425784,0.8147583813865513,1.0
