Date,Consumer,Manuf,HiTec,Hlth,btc,eth
2018-01-02,14330.081777818988,10020.809044760645,10419.540888934283,25573.05836656603,14982.099609375,884.4439697265625
2018-01-03,14291.390557018876,10059.890200035212,10533.113884623666,25800.65858602847,15201.0,962.719970703125
2018-01-04,14362.847509803967,10122.26151927543,10585.779454046784,25754.217400573616,15599.2001953125,980.9219970703124
2018-01-05,14403.06348283142,10206.276289885414,10689.520092696444,25906.167283237,17429.5,997.719970703125
2018-01-08,14418.906852662536,10259.34892659282,10733.347125076498,25781.817680277465,15170.099609375,1148.530029296875
2018-01-09,14433.325759515195,10269.608275519411,10724.760447376437,26052.52676592038,14595.400390625,1299.739990234375
2018-01-10,14364.045795869524,10225.448959934678,10703.310926481685,26062.947776626745,14973.2998046875,1255.8199462890625
2018-01-11,14342.49972717572,10326.680904638031,10775.02310968911,26175.01845206624,13405.7998046875,1154.9300537109375
2018-01-12,14332.459977366696,10386.575653884933,10845.060759902088,26337.30356646905,13980.599609375,1273.199951171875
2018-01-16,14355.391913330484,10305.56036378463,10785.412925722629,26334.669836112404,11490.5,1053.68994140625
2018-01-17,14516.172302759784,10429.227088150046,10938.565789267888,26576.94879860464,11188.599609375,1014.25
2018-01-18,14459.559230779025,10376.038030000482,10941.847359004669,26523.79490100743,11474.900390625,1036.280029296875
2018-01-19,14659.101148163774,10471.497579876486,10972.484531609882,26677.632911433273,11607.400390625,1039.0999755859375
2018-01-22,14730.930743789777,10466.26183108655,11052.583668690637,26997.764506370473,10931.400390625,1003.260009765625
2018-01-23,14778.069722169905,10428.583288494638,11122.214945803384,26903.272330598174,10868.400390625,986.22900390625
2018-01-24,14791.369984919857,10436.926155125431,11031.012783247796,26930.17560292877,11359.400390625,1058.780029296875
2018-01-25,14717.413134995257,10502.678789902722,11022.1879730212,27223.71451700069,11259.400390625,1056.030029296875
2018-01-26,14860.172042404707,10548.890576578293,11204.054074576048,27858.02706524681,11171.400390625,1055.1700439453125
2018-01-29,14739.80464886123,10452.895672331431,11122.264479831643,27821.81163006199,11296.400390625,1182.3599853515625
2018-01-30,14689.689313055103,10374.498954788944,11014.378514377277,27357.187375839956,10106.2998046875,1071.1300048828125
2018-01-31,14692.627250917714,10377.611304475382,11076.05903405779,26823.72222201108,10221.099609375,1118.31005859375
2018-02-01,14635.326004639135,10352.705037344642,11078.2742458646,26960.523205343336,9170.5400390625,1036.7900390625
2018-02-02,14393.84312556259,10130.121879041732,10778.05301380167,26604.644299032803,8830.75,915.7849731445312
2018-02-05,13903.013074980903,9708.708808873596,10345.853087948222,25402.11437671652,6955.27001953125,697.9509887695312
2018-02-06,14008.67597435076,9865.989891577348,10596.22273267657,25686.618057735748,7754.0,793.1220092773438
2018-02-07,13989.06382798667,9861.05689663156,10486.022016256731,25694.32404315307,7621.2998046875,757.0679931640625
2018-02-08,13674.30989185697,9508.03105973215,10068.678340009714,24751.34235076935,8265.58984375,817.8070068359375
2018-02-09,13730.374562413584,9624.02903866088,10290.189263489929,25112.711949090582,8736.98046875,883.864990234375
2018-02-12,13893.766019706309,9786.675129414249,10465.122480969254,25348.771441412035,8926.5703125,868.7069702148438
2018-02-13,13936.836694367395,9802.333809621312,10503.84343414884,25381.724844285873,8598.3095703125,845.2579956054688
2018-02-14,13977.253520781062,9931.724615908312,10713.92030283182,25709.14909477716,9494.6298828125,923.5609741210938
2018-02-15,14147.77601373459,10081.693657608528,10918.556180615906,26117.924565384117,10166.400390625,936.9760131835938
2018-02-16,14108.162240896134,10096.81619809494,10887.98422331018,26264.18494295027,10233.900390625,944.2100219726562
2018-02-20,13906.41552085132,10024.119121468657,10905.404998067475,25993.663838037883,11403.7001953125,895.3709716796875
2018-02-21,13804.898687549106,9989.034704543516,10865.054999574628,25905.285380988556,10690.400390625,849.9710083007812
2018-02-22,13809.04015715537,10053.963430123047,10862.881988574713,25853.47481022658,10005.0,812.844970703125
2018-02-23,13988.55767919839,10137.41132659307,11079.05334014735,26272.30110215225,10301.099609375,864.1890258789062
2018-02-26,14073.8878810415,10247.909110052931,11240.8075189135,26582.31425515765,10366.7001953125,869.3150024414062
2018-02-27,13897.96428252848,10118.785455266268,11136.268008987605,26303.199955478496,10725.599609375,878.2650146484375
2018-02-28,13777.051993270485,9960.932402164111,11075.018534938174,25884.979076186388,10397.900390625,855.198974609375
2018-03-01,13706.789028104804,9822.475441774031,10898.925740232657,25507.05838167407,10951.0,872.2000122070312
2018-03-02,13842.486239483042,9838.19140248087,11017.724030801191,25917.72202161902,11086.400390625,856.85302734375
2018-03-05,13949.073383527062,9945.427688767912,11133.410133124604,26138.022658802784,11573.2998046875,853.6840209960938
2018-03-06,14023.003472459755,10004.105712131644,11176.83043264379,26093.58802028282,10779.900390625,816.9509887695312
2018-03-07,13927.647048847031,9996.102427561937,11260.65666088862,26242.32147199843,9965.5703125,752.8309936523438
2018-03-08,14068.316284040386,10043.084108971478,11313.581747194794,26523.114311748817,9395.009765625,704.5960083007812
2018-03-09,14147.098855231012,10223.859622932963,11526.277084042054,26915.656403562694,9337.5498046875,728.916015625
2018-03-12,14131.537046490255,10143.091131911797,11559.703287585777,26861.82509075557,9205.1201171875,699.8309936523438
2018-03-13,14140.01596871815,10086.28982157309,11420.986848134746,26843.02181319204,9194.849609375,690.8270263671875
2018-03-14,14026.895840968404,9986.435552339515,11415.27635471068,26700.753797582125,8269.8095703125,614.291015625
