Date,Consumer,Manuf,HiTec,Hlth
2018-01-02,14330.081777818988,10020.809044760645,10419.540888934283,25573.058366566034
2018-01-03,14291.390557018876,10059.890200035212,10533.113884623666,25800.65858602847
2018-01-04,14362.847509803969,10122.26151927543,10585.779454046784,25754.217400573616
2018-01-05,14403.06348283142,10206.276289885414,10689.520092696443,25906.167283237002
2018-01-08,14418.906852662536,10259.34892659282,10733.347125076498,25781.817680277465
2018-01-09,14433.325759515197,10269.608275519411,10724.760447376437,26052.52676592038
2018-01-10,14364.045795869524,10225.448959934678,10703.310926481683,26062.947776626745
2018-01-11,14342.49972717572,10326.680904638031,10775.02310968911,26175.01845206624
2018-01-12,14332.459977366696,10386.575653884933,10845.060759902088,26337.30356646905
2018-01-16,14355.391913330483,10305.56036378463,10785.412925722627,26334.669836112404
2018-01-17,14516.172302759785,10429.227088150046,10938.565789267888,26576.94879860464
2018-01-18,14459.559230779023,10376.038030000482,10941.847359004669,26523.79490100743
2018-01-19,14659.101148163774,10471.497579876486,10972.484531609882,26677.632911433273
2018-01-22,14730.930743789775,10466.26183108655,11052.583668690635,26997.764506370473
2018-01-23,14778.069722169903,10428.583288494638,11122.214945803385,26903.272330598178
2018-01-24,14791.369984919855,10436.926155125433,11031.012783247797,26930.17560292877
2018-01-25,14717.413134995255,10502.678789902722,11022.187973021199,27223.71451700069
2018-01-26,14860.172042404709,10548.890576578293,11204.054074576048,27858.02706524681
2018-01-29,14739.80464886123,10452.895672331431,11122.264479831643,27821.81163006199
2018-01-30,14689.689313055103,10374.498954788945,11014.378514377277,27357.187375839956
2018-01-31,14692.627250917714,10377.611304475382,11076.05903405779,26823.722222011078
2018-02-01,14635.326004639135,10352.705037344642,11078.2742458646,26960.523205343336
2018-02-02,14393.84312556259,10130.121879041732,10778.05301380167,26604.644299032803
2018-02-05,13903.013074980905,9708.708808873596,10345.853087948222,25402.11437671652
2018-02-06,14008.675974350761,9865.989891577348,10596.22273267657,25686.618057735748
2018-02-07,13989.06382798667,9861.05689663156,10486.022016256733,25694.32404315307
2018-02-08,13674.30989185697,9508.03105973215,10068.678340009714,24751.34235076935
2018-02-09,13730.374562413584,9624.029038660881,10290.189263489927,25112.711949090582
2018-02-12,13893.766019706307,9786.675129414249,10465.122480969254,25348.771441412035
2018-02-13,13936.836694367397,9802.333809621312,10503.843434148841,25381.724844285873
2018-02-14,13977.253520781062,9931.724615908313,10713.920302831819,25709.14909477716
2018-02-15,14147.77601373459,10081.693657608528,10918.556180615906,26117.924565384117
2018-02-16,14108.162240896134,10096.81619809494,10887.98422331018,26264.18494295027
2018-02-20,13906.41552085132,10024.119121468657,10905.404998067477,25993.663838037883
2018-02-21,13804.898687549106,9989.034704543517,10865.054999574628,25905.285380988556
2018-02-22,13809.04015715537,10053.963430123049,10862.881988574713,25853.47481022658
2018-02-23,13988.55767919839,10137.41132659307,11079.05334014735,26272.30110215225
2018-02-26,14073.887881041499,10247.909110052933,11240.8075189135,26582.31425515765
2018-02-27,13897.96428252848,10118.785455266267,11136.268008987605,26303.199955478496
2018-02-28,13777.051993270483,9960.932402164113,11075.018534938174,25884.979076186388
2018-03-01,13706.789028104804,9822.475441774031,10898.925740232657,25507.05838167407
2018-03-02,13842.486239483042,9838.19140248087,11017.724030801191,25917.72202161902
2018-03-05,13949.073383527062,9945.427688767912,11133.410133124604,26138.022658802784
2018-03-06,14023.003472459757,10004.105712131643,11176.83043264379,26093.58802028282
2018-03-07,13927.647048847031,9996.102427561937,11260.656660888619,26242.32147199843
2018-03-08,14068.316284040386,10043.084108971478,11313.581747194794,26523.114311748814
2018-03-09,14147.098855231012,10223.859622932965,11526.277084042054,26915.656403562694
2018-03-12,14131.537046490257,10143.091131911795,11559.703287585775,26861.82509075557
2018-03-13,14140.01596871815,10086.28982157309,11420.986848134746,26843.02181319204
2018-03-14,14026.895840968404,9986.435552339515,11415.276354710679,26700.753797582125
2018-03-15,13900.653778399688,9970.45725545577,11407.28566126238,26596.620857771555
2018-03-16,13877.022666976409,10012.333175928685,11405.004204130128,26652.473761572874
2018-03-19,13741.02784484004,9920.21971071014,11186.02812341083,26178.059728616874
2018-03-20,13690.186041814131,9942.044194073702,11184.909520598489,26230.415848074106
2018-03-21,13525.903809312362,9959.939873623034,11128.984972995497,26201.562390641226
2018-03-22,13382.52922893365,9656.161707477531,10844.082957686813,25436.476768834502
2018-03-23,13224.615384032233,9516.147362719108,10575.14970033618,24879.417927597027
2018-03-26,13405.792614793476,9738.825211006735,10971.717814098787,25369.54246077069
2018-03-27,13399.08971848608,9624.880956037956,10609.651126233526,24963.62978139836
2018-03-28,13529.060888755395,9584.456456022597,10514.164266097425,25068.477026480232
2018-03-29,13627.82303324331,9737.80775931896,10728.653217125811,25256.490604178834
2018-04-02,13344.36431415185,9502.152811543441,10469.019809271367,24566.988410684753
2018-04-03,13532.51985098139,9653.237041246983,10567.42859547852,24883.902561182585
2018-04-04,13749.040168597094,9722.740347943962,10716.429338674767,25287.021782673743
2018-04-05,13837.034025676114,9822.884573527785,10760.366698963333,25208.632015147454
2018-04-06,13694.512575211651,9588.11763222047,10504.269971528005,24588.499667574826
2018-04-09,13726.009954134637,9577.570702825027,10571.497299345783,24900.773613353023
